Correspondent,Assignors,Assignees,Invention Title,Application Date,Publish Date,Issue Date
ROBERT O. FOX ESQ.,HALSTEAD P. DAVID - ,SOUTHERN IMPACT RESEARCH CENTER LLC - ,BUCKLE,30-05-2001,18-03-2003,
ELIZABETH PARSONS,PHILIPS SEMICONDUCTORS INC. - ,NXP B.V. - ,THERMOSTAT CONTROLS DSP'S TEMPERATURE BY EFFECTUATING THE DSP SWITCHING BETWEEN TASKS OF DIFFERENT COMPUTE-INTENSITY,21-01-1997,09-02-1999,
ELIZABETH PARSONS,PHILIPS SEMICONDUCTORS INC. - ,NXP B.V. - ,MULTIPORT REGISTER FILE TO ACCOMMODATE DATA OF DIFFERING LENGTHS,30-12-1994,09-04-2002,
ELIZABETH PARSONS,PHILIPS SEMICONDUCTORS INC. - ,NXP B.V. - ,VLIW PROCESSING DEVICE INCLUDING IMPROVED MEMORY FOR AVOIDING COLLISIONS WITHOUT AN EXCESSIVE NUMBER OF PORTS,19-04-1995,25-11-1997,
ELIZABETH PARSONS,PHILIPS SEMICONDUCTORS INC. - ,NXP B.V. - ,PLANAR CACHE LAYOUT AND INSTRUCTION STREAM THEREFOR,15-05-1996,10-10-2000,
ELIZABETH PARSONS,PHILIPS SEMICONDUCTORS INC. - ,NXP B.V. - ,COMPILER GENERATING SWIZZLED INSTRUCTIONS USABLE IN A SIMPLIFIED CACHE LAYOUT,15-05-1996,19-01-1999,
ELIZABETH PARSONS,PHILIPS SEMICONDUCTORS INC. - ,NXP B.V. - ,EXCEPTION RECOVERY IN A DATA PROCESSING SYSTEM,16-12-1994,03-11-1998,
ELIZABETH PARSONS,PHILIPS SEMICONDUCTORS INC. - ,NXP B.V. - ,READ CROSSBAR ELIMINATION IN A VLIW PROCESSOR,11-08-1997,03-08-1999,
ELIZABETH PARSONS,PHILIPS SEMICONDUCTORS INC. - ,NXP B.V. - ,VLIW PROCESSOR WHICH USES PATH INFORMATION GENERATED BY A BRANCH CONTROL UNIT TO INHIBIT OPERATIONS WHICH ARE NOT ON A CORRECT PATH,25-10-1993,12-09-1995,
ARTHUR R. CRAWFORD,AFFAITATI PIETRO - FABBRI ANDREA - ,IMS S.R.L. - ,Cold Sterilizer,19-03-2008,23-04-2009,
STAAS & HALSEY LLP,JANG GILJIN - KIM JEONGSU - BRIDLE JOHN S. - HUNT MELVYN J. - ,SAMSUNG ELECTRONICS CO. LTD. - ,METHOD MEDIUM AND SYSTEM DETECTING SPEECH USING ENERGY LEVELS OF SPEECH FRAMES,01-08-2007,07-02-2008,
TIMOTHY J. OYER,HOUSE KURT - AZIZ MICHAEL J. - SCHRAG DANIEL PAUL - ,PRESIDENT AND FELLOWS OF HARVARD COLLEGE - ,TROUGH SHADE SYSTEM AND METHOD,07-11-2008,13-05-2010,13-09-2011,
ANTHONY G. FUSSNER,GRESKO JOHNNY J. - ,DIRECT SOUND HEADPHONES LLC - ,AMBIENT NOISE ISOLATION AUDIO HEADPHONES HAVING A LAYERED DAMPENING STRUCTURE,17-01-2006,14-12-2010,
ANSEL M. SCHWARTZ ATTORNEY AT LAW,NANOPHORETICS LLC - ,DICKERSON SAMUEL J. - CHIARULLI DONALD M. - LEVITAN STEVEN P. - CARTHEL CRAIG - CORALUPPI STEFANO - ,Method and Apparatus for Identifying Objects in a Plurality of Objects Using Dielectrophoresis,04-06-2014,18-12-2014,
DAVID CARRITHERS,BULI TIMMONS - ,ANDERSON WOOD PRODUCTS COMPANY - ,Engineered wood handrail,12-06-2014,15-01-2015,
BAO TRAN,2PHASE TECHNOLOGIES INC. - ,TRAN BAO - ,USE OF STATE-CHANGE MATERIALS IN REFORMABLE SHAPES TEMPLATES OR TOOLING,05-12-2006,16-08-2007,22-07-2008,
